subject	relation	object	time_step	date
Police (India)	Arrest, detain, or charge with legal action	Women (India)	4440	2018-07-05
Citizen (India)	Obstruct passage, block	Unspecified Actor	3672	2018-06-03
Hezbollah	Conduct strike or boycott	Unspecified Actor	2088	2018-03-29
United States	Host a visit	Foreign Affairs (Canada)	408	2018-01-18
Russia	Provide aid	Syria	624	2018-01-27
Tsai Ing-wen	Make a visit	Paraguay	5496	2018-08-18
Charles Flanagan	Consult	The Irish Times	2184	2018-04-02
Australia	Host a visit	Malcolm Bligh Turnbull	4416	2018-07-04
Nikol Pashinyan	Discuss by telephone	Nursultan Nazarbayev	5232	2018-08-07
Peace, Unity, and Development Party	Consult	Business (Somalia)	312	2018-01-14
Other Authorities / Officials (Philippines)	Arrest, detain, or charge with legal action	Men (Philippines)	1440	2018-03-02
Donald Trump	Threaten	Syria	2424	2018-04-12
Ministry (Libya)	Consult	United Nations	168	2018-01-08
Germany	Sign formal agreement	Denmark	4608	2018-07-12
Thaksin Shinawatra	Consult	Pheu Thai Party	1176	2018-02-19
Zakir Hasanov	Express intent to meet or negotiate	Turkey	3048	2018-05-08
Pakistan Ranger	Consult	Border Security Force	648	2018-01-28
Foreign Affairs (Iran)	Make a visit	Governor (Iraq)	2328	2018-04-08
Civic Group (Taiwan)	Make an appeal or request	Citizen (Taiwan)	1296	2018-02-24
Healthcare Facility (Australia)	Reject	Citizen (Australia)	4416	2018-07-04
Citizen (Iraq)	Express intent to meet or negotiate	Iraq	1872	2018-03-20
Horst Seehofer	Make statement	Germany	4440	2018-07-05
Citizen (India)	Criticize or denounce	Representatives (India)	2952	2018-05-04
Military (India)	Make statement	Military (Pakistan)	5424	2018-08-15
European Union	Express intent to cooperate	China	4224	2018-06-26
Police (Philippines)	Use conventional military force	Men (Philippines)	2544	2018-04-17
Bharatiya Janata	Deny responsibility	Congress (India)	2904	2018-05-02
Military (Syria)	Make statement	Military (Turkey)	1128	2018-02-17
Mahathir Mohamad	Consult	Li Keqiang	5544	2018-08-20
National Security Council	Make statement	Military (Afghanistan)	672	2018-01-29
United States	Engage in negotiation	Kim Jong-Un	3864	2018-06-11
Business (Belgium)	Cooperate economically	Syria	2616	2018-04-20
Children (India)	Make an appeal or request	Education (India)	456	2018-01-20
Nicos Anastasiades	Express intent to meet or negotiate	Mustafa Akinci	816	2018-02-04
Ministry (Zimbabwe)	Make statement	Lawyer/Attorney (Zimbabwe)	3360	2018-05-21
Mike Nahan	Make statement	Liberals (Australia)	1824	2018-03-18
Employee (India)	Demonstrate or rally	Unspecified Actor	624	2018-01-27
United Nations	Make an appeal or request	Colombia	2592	2018-04-19
Employee (India)	Make statement	Business (India)	4752	2018-07-18
Mob (India)	Accuse	Narendra Modi	4824	2018-07-21
Education (India)	Make statement	Police (India)	4680	2018-07-15
Business (India)	Rally support on behalf of	Armed Rebel (India)	3048	2018-05-08
Justin Trudeau	Express intent to meet or negotiate	Senate (Luxembourg)	2520	2018-04-16
Shinzo Abe	Express intent to cooperate	Jüri Ratas	264	2018-01-12
Lebanon	Receive deployment of peacekeepers	China	4992	2018-07-28
Xinhua	Consult	Finance / Economy / Commerce / Trade Ministry (China)	2112	2018-03-30
Militia (Nigeria)	Sexually assault	Women (Nigeria)	3456	2018-05-25
United Kingdom	Express intent to cooperate	European Union	3792	2018-06-08
House of Representatives (Nigeria)	Investigate	Government (Nigeria)	1776	2018-03-16
United States	Express intent to meet or negotiate	Mexico	2712	2018-04-24
Iran	Engage in diplomatic cooperation	United Nations	4320	2018-06-30
Muhammadu Buhari	Consult	Donald Trump	2856	2018-04-30
Reuters	Consult	Rights Activist (Lebanon)	3288	2018-05-18
Egypt	Host a visit	Muhammad ibn Salman	1488	2018-03-04
Eritrea	Engage in negotiation	Hassan Ali Khayre	5448	2018-08-16
Awami National Party	Consult	Employee (Pakistan)	4584	2018-07-11
Police (United Kingdom)	fight with small arms and light weapons	Men (United Kingdom)	5256	2018-08-08
Criminal (India)	fight with small arms and light weapons	Citizen (India)	2880	2018-05-01
Citizen (Nigeria)	Make an appeal or request	Muhammadu Buhari	720	2018-01-31
Activist (India)	Demonstrate or rally	Unspecified Actor	4872	2018-07-23
Salva Kiir	Consult	Taban Deng Gai	2280	2018-04-06
Head of Government (United States)	Consult	North Korea	1920	2018-03-22
Xi Jinping	Demand	China	600	2018-01-26
Ashraf Ghani Ahmadzai	Make optimistic comment	Afghanistan	696	2018-01-30
Mamata Banerjee	Consult	Arvind Kejriwal	2064	2018-03-28
Kuwait	Engage in negotiation	Qatar	1224	2018-02-21
Business (China)	Make statement	China	2880	2018-05-01
Governor (India)	Make statement	Medical Personnel (India)	4992	2018-07-28
People Associated with the Opposition (United Kingdom)	Consult	Police (United Kingdom)	1224	2018-02-21
Labor Union (India)	Accuse	Citizen (India)	2952	2018-05-04
Mark Rutte	Engage in negotiation	Li Keqiang	2424	2018-04-12
United States	Reduce or break diplomatic relations	Foreign Affairs (Russia)	2736	2018-04-25
Police (Japan)	Investigate	Citizen (Philippines)	888	2018-02-07
Head of Government (Rwanda)	Meet at a 'third' location	Donald Trump	744	2018-02-01
N. Chandrababu Naidu	Consult	Police (India)	48	2018-01-03
Kuwait Chamber of Commerce and Industry	Make statement	Kuwait	2376	2018-04-10
Justin Trudeau	Express intent to cooperate	Shinzo Abe	3408	2018-05-23
Defense / Security Ministry (Russia)	Make statement	Organization for the Prohibition of Chemical Weapons	2736	2018-04-25
Iraq	Make optimistic comment	United States	2088	2018-03-29
United Arab Emirates	Host a visit	Narendra Modi	840	2018-02-05
Protester (Georgia)	Demonstrate or rally	Unspecified Actor	1056	2018-02-14
Libyan Armed Forces	fight with small arms and light weapons	Criminal (Libya)	720	2018-01-31
Rodrigo Duterte	Express intent to meet or negotiate	Philippine Military Academy	1512	2018-03-05
Activist (Thailand)	Express intent to engage in diplomatic cooperation (such as policy support)	Government (Thailand)	3288	2018-05-18
Head of Government (Russia)	Consult	Shinzo Abe	3432	2018-05-24
Police (India)	Investigate	Member of the Judiciary (India)	4368	2018-07-02
Naval (Libya)	Accuse	Non-Governmental Organizations	4344	2018-07-01
Citizen (Philippines)	Criticize or denounce	Antonio Trillanes	3960	2018-06-15
Donald Trump	Consult	Kim Jong-Un	3120	2018-05-11
Taro Kono	Criticize or denounce	Donald Trump	864	2018-02-06
Media Personnel (United States)	Make statement	Education (Colombia)	240	2018-01-11
Executive Office of the President	Make statement	Head of Government (North Korea)	744	2018-02-01
Bharatiya Janata	Make statement	Party President (India)	2688	2018-04-23
Citizen (India)	Kill by physical assault	India	4320	2018-06-30
Guenther Oettinger	Meet at a 'third' location	Poland	768	2018-02-02
Kazakhstan	Express intent to cooperate militarily	Uzbekistan	4704	2018-07-16
Vladimir Putin	Express intent to engage in diplomatic cooperation (such as policy support)	Donald Trump	4704	2018-07-16
United States	Make statement	United Kingdom	2496	2018-04-15
Labor Union (Gambia)	Criticize or denounce	Government (Gambia)	2928	2018-05-03
Citizen (Qatar)	Sexually assault	Women (India)	120	2018-01-06
Thailand	Arrest, detain, or charge with legal action	Citizen (France)	2256	2018-04-05
Citizen (Italy)	Express intent to meet or negotiate	Sergio Mattarella	3168	2018-05-13
Uhuru Muigai Kenyatta	Consult	World Bank	2952	2018-05-04
Facebook	Criticize or denounce	Hindu (India)	696	2018-01-30
Bosnia and Herzegovina	Arrest, detain, or charge with legal action	Criminal (Bosnia and Herzegovina)	4392	2018-07-03
Boko Haram	Return, release person(s)	Nigeria	1896	2018-03-21
Member of Parliament (India)	Make statement	Narendra Modi	4464	2018-07-06
Tsai Ing-wen	Host a visit	Legislature (Belize)	4056	2018-06-19
Student Dissident (Zimbabwe)	Obstruct passage, block	Zimbabwe	1368	2018-02-27
Special Court (India)	Make statement	Court Judge (India)	5496	2018-08-18
Criminal (Jordan)	Physically assault	Men (Jordan)	2880	2018-05-01
Taliban	Use conventional military force	Military (Afghanistan)	1368	2018-02-27
Israel	Criticize or denounce	Lebanon	1104	2018-02-16
Bharatiya Janata	Make statement	India	2088	2018-03-29
Japan	Express intent to cooperate	South Korea	2352	2018-04-09
Carlos Alvarado	Make a visit	Costa Rica	2088	2018-03-29
Police (India)	Use tactics of violent repression	Activist (India)	3792	2018-06-08
Hellenic Armed Forces	Host a visit	Panagiotis Kouroumblis	1176	2018-02-19
India	Host a visit	Airline (Singapore)	552	2018-01-24
Ahmad Jarba	Consult	Mikhail Bogdanov	1344	2018-02-26
Cabinet / Council of Ministers / Advisors (India)	Make statement	Government (India)	3336	2018-05-20
Citizen (India)	Demonstrate or rally	Unspecified Actor	2136	2018-03-31
United Kingdom	Consult	Mohammad Javad Zarif	3216	2018-05-15
Bahujan Samaj Party	Accuse	Congress (India)	2328	2018-04-08
Police (India)	Make statement	Border Security Force	3744	2018-06-06
Military (India)	fight with small arms and light weapons	Citizen (India)	648	2018-01-28
Mateusz Morawiecki	Make statement	Poland	2736	2018-04-25
Japan	Arrest, detain, or charge with legal action	Indigenous People (Taiwan)	1944	2018-03-23
International Labor Organization	Praise or endorse	Azerbaijan	1920	2018-03-22
Head of Government (Africa)	Express intent to meet or negotiate	Economic Community of Central African States	4920	2018-07-25
Canada	Make a visit	Singapore	3816	2018-06-09
Quim Torra	Consult	Pedro Sanchez	4656	2018-07-14
Ministry (India)	Make statement	Government (India)	4872	2018-07-23
Office of the United Nations High Commissioner for Human Rights	Criticize or denounce	Rodrigo Duterte	1560	2018-03-07
Israel	Employ aerial weapons	Syria	3528	2018-05-28
Mike Pence	Engage in negotiation	Shinzo Abe	888	2018-02-07
Amit Shah	Praise or endorse	Narendra Modi	1080	2018-02-15
European Union	Impose embargo, boycott, or sanctions	Venezuela	2376	2018-04-10
Police (Burundi)	Accuse	Activist (Burundi)	72	2018-01-04
France	Criticize or denounce	Donald Trump	3024	2018-05-07
Emmanuel Macron	Express intent to meet or negotiate	Germany	2544	2018-04-17
United States	Make a visit	Turkey	4896	2018-07-24
Henri Falcón	Threaten with military force	Citizen (Venezuela)	2880	2018-05-01
Armed Rebel (Syria)	Make statement	Bashar al-Assad	2520	2018-04-16
Sunday Times	Consult	Saviour Kasukuwere	3384	2018-05-22
Treasury/Finance Ministry (Japan)	Make an appeal or request	Citizen (Japan)	2568	2018-04-18
United Nations	Make statement	South Sudan	3288	2018-05-18
Canada	Reject	Medical Personnel (Canada)	5160	2018-08-04
Head of Government (Chile)	Make an appeal or request	Legislature (Chile)	4656	2018-07-14
European Union	Consult	Cabinet / Council of Ministers / Advisors (United States)	1080	2018-02-15
Sergio Mattarella	Express intent to meet or negotiate	Party President (Italy)	2328	2018-04-08
Foreign Affairs (Taiwan)	Make statement	Taiwan	4752	2018-07-18
Representatives (India)	Engage in symbolic act	Atal Bihari Vajpayee	5592	2018-08-22
Business (United Kingdom)	Consult	Mohammed bin Salman	1584	2018-03-08
Edi Rama	Make statement	Head of Government (Albania)	3696	2018-06-04
Abbas Araqchi	Accuse	Donald Trump	1416	2018-03-01
Sergei Ryabkov	Make statement	France	3048	2018-05-08
Rosatom	Engage in negotiation	Saudi Arabia	2448	2018-04-13
Sergio Mattarella	Consult	Matteo Salvini	2256	2018-04-05
Villager (India)	Demonstrate or rally	Unspecified Actor	5592	2018-08-22
Kozo Watanabe	Make an appeal or request	Student (Japan)	4992	2018-07-28
Shinzo Abe	Express intent to meet or negotiate	Kim Jong-Un	3792	2018-06-08
Israel	Host a visit	United States	4512	2018-07-08
Russia	Reduce or break diplomatic relations	Foreign Affairs (United Kingdom)	1896	2018-03-21
Xi Jinping	Make a visit	China	2496	2018-04-15
India	Criticize or denounce	Bharatiya Janata	2856	2018-04-30
Ashraf Ghani Ahmadzai	Make an appeal or request	Citizen (Afghanistan)	2184	2018-04-02
Miro Cerar	Demand	European Union	3000	2018-05-06
Israeli Defense Forces	Use conventional military force	Citizen (Palestinian Territory, Occupied)	2760	2018-04-26
Niger	Make a visit	Head of Government (Burkina Faso)	912	2018-02-08
Government (India)	Accuse	Representatives (India)	4416	2018-07-04
India	Host a visit	Amit Shah	1584	2018-03-08
Citizen (Thailand)	Express intent to engage in diplomatic cooperation (such as policy support)	Military Personnel (Thailand)	4632	2018-07-13
Yoshihide Suga	Make statement	Japan	4248	2018-06-27
Police (South Africa)	Use conventional military force	Citizen (South Africa)	1440	2018-03-02
Citizen (Ireland)	Occupy territory	Ireland	5472	2018-08-17
Citizen (Iran)	Demonstrate or rally	Other Authorities / Officials (Iran)	4296	2018-06-29
Shinzo Abe	Express intent to meet or negotiate	Latvia	240	2018-01-11
Jovenel Moïse	Praise or endorse	Taiwan	3552	2018-05-29
Hindu (India)	Use conventional military force	Muslim (India)	5736	2018-08-28
Foreign Affairs (China)	Praise or endorse	Congo	1656	2018-03-11
Citizen (Venezuela)	Criticize or denounce	Venezuela	3360	2018-05-21
Bharatiya Janata	Criticize or denounce	Yogi Adityanath	2256	2018-04-05
Mujahideen (Iran)	Express intent to change institutions, regime	Iran	5592	2018-08-22
Davor Bozinovic	Make statement	Croatia	576	2018-01-25
Member of Parliament (Latvia)	Make statement	European Union	3120	2018-05-11
Indigenous People (Pakistan)	Make a visit	India	5376	2018-08-13
European Union	Make an appeal or request	Italy	3864	2018-06-11
Police (Senegal)	Make an appeal or request	Citizen (Senegal)	1104	2018-02-16
Foreign Affairs (Romania)	Consult	Energy Department/Ministry (United States)	4992	2018-07-28
Commando (France)	fight with small arms and light weapons	Citizen (France)	2352	2018-04-09
Hindustan Times	Consult	Anna Hazare	1872	2018-03-20
Criminal (India)	Threaten with military force	Children (India)	1944	2018-03-23
Nicola Sturgeon	Consult	Theresa May	5232	2018-08-07
United States	Expel or deport individuals	Foreign Affairs (Cuba)	1224	2018-02-21
Military (Syria)	Use unconventional violence	Extremist (Syria)	3240	2018-05-16
North Korea	Make pessimistic comment	United States	2856	2018-04-30
Mamnoon Hussain	Engage in negotiation	Joko Widodo	600	2018-01-26
Party Member (South Korea)	Make statement	Government (South Korea)	3432	2018-05-24
Cyril Ramaphosa	Make a visit	UAE Armed Forces	4704	2018-07-16
Indigenous People (Canada)	Threaten	Citizen (Canada)	3696	2018-06-04
Sebastián Piñera	Express intent to meet or negotiate	Carlos Alvarado	4560	2018-07-10
High Ranking Military Personnel (Albania)	Express intent to meet or negotiate	Military (Albania)	3072	2018-05-09
Ireland	Make pessimistic comment	United Kingdom	4152	2018-06-23
Police (Latvia)	Use conventional military force	Business (Latvia)	3912	2018-06-13
Economist (Zimbabwe)	Make statement	Zimbabwe	5568	2018-08-21
Japan	Express intent to engage in diplomatic cooperation (such as policy support)	International	3216	2018-05-15
Military (Cote d'Ivoire)	Make an appeal or request	High Commission (Cote d'Ivoire)	4248	2018-06-27
Citizen (India)	Criticize or denounce	India	336	2018-01-15
Moon Jae-in	Express intent to engage in diplomatic cooperation (such as policy support)	Donald Trump	2736	2018-04-25
Benjamin Netanyahu	Engage in diplomatic cooperation	Cyprus	5640	2018-08-24
Taizo Mikazuki	Physically assault	Education (Japan)	4176	2018-06-24
Croatia	Express intent to engage in diplomatic cooperation (such as policy support)	China	4656	2018-07-14
Citizen (China)	Defy norms, law	Communist Party (China)	5040	2018-07-30
Legislature (Peru)	Praise or endorse	Odebrecht SA	696	2018-01-30
Nabih Berri	Express intent to cooperate	Michel Aoun	888	2018-02-07
India	Make an appeal or request	Arun Jaitley	1920	2018-03-22
Al Quds al Arabi	Make statement	Military (Syria)	5232	2018-08-07
Belize	Host a visit	Tsai Ing-wen	5280	2018-08-09
China	Sign formal agreement	Russia	2712	2018-04-24
Ministry (Sudan)	Consult	Government Official (Sudan)	1344	2018-02-26
Election Commission (Zimbabwe)	Make statement	Emmerson Mnangagwa	5112	2018-08-02
Ministry/Department of Technology (Iran)	Make statement	Supreme National Security Council	4824	2018-07-21
Police (India)	Use conventional military force	Citizen (India)	384	2018-01-17
Media Personnel (Australia)	Make statement	Association of American Publishers	4416	2018-07-04
Citizen (India)	Accuse	Domestic Affairs (India)	5112	2018-08-02
Oversight Court (Russia)	Arrest, detain, or charge with legal action	Citizen (Russia)	5424	2018-08-15
Police (India)	Make statement	Health Ministry (India)	5112	2018-08-02
Li Keqiang	Meet at a 'third' location	Head of Government (South Korea)	3048	2018-05-08
Protester (Nigeria)	Demonstrate or rally	Nigeria Police Force	2544	2018-04-17
Armed Gang (Thailand)	Use unconventional violence	Citizen (Thailand)	3288	2018-05-18
United States	Make pessimistic comment	North Korea	864	2018-02-06
Media Personnel (United Kingdom)	Make statement	Scotland	96	2018-01-05
